school_year,county_number,county_name,district_number,district_name,school_number,school_name,school_code,state_school_id,nces_id,co_op,co_op_code,school_type,federal_classification,level,title_1,number_of_years_identified,reason_for_federal_classification
20242025,15,BULLITT,71,Bullitt County,45,Maryville Elementary School,71045,15071045,210075000000,OVEC,906,A1,CSI,Elementary School,Y,1.0,Bottom 5%
20242025,15,BULLITT,71,Bullitt County,50,MT. Washington Middle School,71050,15071050,210075000000,OVEC,906,A1,ATSI,Middle School,Y,4.0,Disability
20242025,15,BULLITT,71,Bullitt County,70,Nichols Elementary,71070,15071070,210075000000,OVEC,906,A1,CSI,Elementary School,Y,1.0,Bottom 5%
20242025,15,BULLITT,71,Bullitt County,75,North Bullitt High School,71075,15071075,210075000000,OVEC,906,A1,TSI,High School,Y,4.0,Disability
20242025,19,CAMPBELL,91,Campbell County,11,Campbell County Middle School,91011,19091011,210090000000,NKCES,905,A1,ATSI,Middle School,N,4.0,Disability
20242025,21,CARROLL,101,Carroll County,5,Cartmell Elementary,101005,21101005,210099000000,OVEC,906,A1,ATSI,Elementary School,Y,4.0,Disability
20242025,21,CARROLL,101,Carroll County,10,Kathryn Winn Primary,101010,21101010,210099000000,OVEC,906,A1,ATSI,Elementary School,Y,4.0,Disability
20242025,22,CARTER,105,Carter County,505,West Carter Middle School,105505,22105505,210102000000,KEDC,903,A1,TSI,Middle School,Y,4.0,Disability
20242025,5,BARREN,113,Caverna Independent,25,Caverna Elementary School,113025,5113025,210111000000,GRREC,902,A1,TSI,Elementary School,Y,4.0,Disability
20242025,24,CHRISTIAN,115,Christian County,26,Freedom Elementary School,115026,24115026,210115000000,WKEC,908,A1,ATSI,Elementary School,Y,3.0,Disability
20242025,24,CHRISTIAN,115,Christian County,30,Christian County High School,115030,24115030,210115000000,WKEC,908,A1,ATSI,High School,Y,4.0,Disability
20242025,24,CHRISTIAN,115,Christian County,35,Christian County Middle School,115035,24115035,210115000000,WKEC,908,A1,ATSI,Middle School,Y,4.0,Disability
20242025,24,CHRISTIAN,115,Christian County,58,Hopkinsville Middle School,115058,24115058,210115000000,WKEC,908,A1,ATSI,Middle School,Y,4.0,Disability
20242025,24,CHRISTIAN,115,Christian County,130,Pembroke Elementary School,115130,24115130,210115000000,WKEC,908,A1,ATSI,Elementary School,Y,4.0,Disability
20242025,25,CLARK,121,Clark County,26,Rev. Henry E. Baker Sr. Interm. School,121026,25121026,210120000000,CKEC,901,A1,TSI,Middle School,Y,4.0,Disability
20242025,14,BRECKINRIDGE,132,Cloverport Independent,30,Cloverport Independent School,132030,14132030,210129000000,GRREC,902,A1,CSI,Elementary School,Y,1.0,Bottom 5%
20242025,11,BOYLE,143,Danville Independent,3,Mary G. Hogsett Primary School,143003,11143003,210144000000,CKEC,901,A1,ATSI,Elementary School,Y,4.0,Disability
20242025,11,BOYLE,143,Danville Independent,10,Edna L. Toliver Intermediate School,143010,11143010,210144000000,CKEC,901,A1,ATSI,Elementary School,Y,4.0,Disability
20242025,59,KENTON,157,Erlanger-Elsmere Independent,60,Tichenor Middle School,157060,59157060,210174000000,NKCES,905,A1,ATSI,Middle School,N,4.0,Disability
20242025,34,FAYETTE,165,Fayette County,5,Arlington Elementary School,165005,34165005,210186000000,CKEC,901,A1,TSI,Elementary School,Y,4.0,Hispanic; English Learners plus Monitored
20242025,34,FAYETTE,165,Fayette County,30,Bryan Station Middle School,165030,34165030,210186000000,CKEC,901,A1,ATSI,Middle School,Y,2.0,Disability
20242025,34,FAYETTE,165,Fayette County,39,Henry Clay High School,165039,34165039,210186000364,CKEC,901,A1,ATSI,High School,Y,4.0,English Learners plus Monitored; Disability
20242025,34,FAYETTE,165,Fayette County,65,Leestown Middle School,165065,34165065,210186000000,CKEC,901,A1,ATSI,Middle School,Y,4.0,Disability
20242025,34,FAYETTE,165,Fayette County,67,Lexington Middle School,165067,34165067,210186000000,CKEC,901,A1,ATSI,Middle School,Y,4.0,Disability
20242025,34,FAYETTE,165,Fayette County,90,Russell Cave Elementary School,165090,34165090,210186000000,CKEC,901,A1,CSI,Elementary School,Y,1.0,Bottom 5%
20242025,34,FAYETTE,165,Fayette County,95,Tates Creek Elementary School,165095,34165095,210186000381,CKEC,901,A1,TSI,Elementary School,Y,4.0,Disability
20242025,34,FAYETTE,165,Fayette County,100,Tates Creek Middle School,165100,34165100,210186000000,CKEC,901,A1,ATSI,Middle School,Y,4.0,Disability
20242025,34,FAYETTE,165,Fayette County,125,Frederick Douglass High School,165125,34165125,210186000000,CKEC,901,A1,ATSI,High School,Y,4.0,Disability
20242025,34,FAYETTE,165,Fayette County,170,Bryan Station High School,165170,34165170,210186000000,CKEC,901,A1,ATSI,High School,Y,4.0,English Learners plus Monitored
20242025,34,FAYETTE,165,Fayette County,200,Paul Laurence Dunbar High School,165200,34165200,210186000000,CKEC,901,A1,ATSI,High School,Y,4.0,English Learners plus Monitored
20242025,34,FAYETTE,165,Fayette County,245,Winburn Middle School,165245,34165245,210186000000,CKEC,901,A1,ATSI,Middle School,Y,4.0,English Learners plus Monitored; Disability
20242025,34,FAYETTE,165,Fayette County,255,Millcreek Elementary School,165255,34165255,210186000000,CKEC,901,A1,ATSI,Elementary School,Y,4.0,Disability
20242025,34,FAYETTE,165,Fayette County,525,Southern Middle School,165525,34165525,210186000394,CKEC,901,A1,ATSI,Middle School,Y,4.0,English Learners plus Monitored; Disability
20242025,36,FLOYD,175,Floyd County,440,James D. Adams Middle School,175440,36175440,210195000000,KVEC,904,A1,ATSI,Middle School,Y,4.0,Disability
20242025,37,FRANKLIN,181,Franklin County,14,Bridgeport Elementary School,181014,37181014,210201000000,OVEC,906,A1,ATSI,Elementary School,Y,4.0,Disability
20242025,37,FRANKLIN,181,Franklin County,15,Bondurant Middle School,181015,37181015,210201000000,OVEC,906,A1,ATSI,Middle School,N,4.0,Disability
20242025,37,FRANKLIN,181,Franklin County,30,Elkhorn Middle School,181030,37181030,210201000000,OVEC,906,A1,ATSI,Middle School,N,4.0,English Learners plus Monitored; Disability
20242025,37,FRANKLIN,181,Franklin County,45,Hearn Elementary,181045,37181045,210201000000,OVEC,906,A1,ATSI,Elementary School,Y,4.0,Disability
20242025,38,FULTON,186,Fulton Independent,18,Fulton Independent School,186018,38186018,210207002205,WKEC,908,A1,CSI,Middle School,Y,1.0,Bottom 5%
20242025,39,GALLATIN,191,Gallatin County,6,Gallatin County Upper Elementary,191006,39191006,210213000000,OVEC,906,A1,ATSI,Elementary School,Y,4.0,Disability
20242025,39,GALLATIN,191,Gallatin County,10,Gallatin County Lower Elementary,191010,39191010,210213000000,OVEC,906,A1,ATSI,Elementary School,Y,4.0,Disability
20242025,41,GRANT,201,Grant County,16,Sherman Elementary,201016,41201016,210225000000,OVEC,906,A1,TSI,Elementary School,Y,4.0,Disability
20242025,43,GRAYSON,211,Grayson County,85,Grayson County High School,211085,43211085,210230000000,GRREC,902,A1,TSI,High School,N,4.0,Disability
20242025,45,GREENUP,221,Greenup County,24,Wurtland Middle School,221024,45221024,210240001610,KEDC,903,A1,ATSI,Middle School,Y,4.0,Disability
20242025,46,HANCOCK,225,Hancock County,7,Hancock County Middle School,225007,46225007,210246000000,GRREC,902,A1,TSI,Middle School,N,4.0,Disability
20242025,47,HARDIN,231,Hardin County,15,Bluegrass Middle School,231015,47231015,210249000000,GRREC,902,A1,ATSI,Middle School,Y,4.0,Disability
20242025,47,HARDIN,231,Hardin County,75,North Hardin High School,231075,47231075,210249000000,GRREC,902,A1,ATSI,High School,Y,4.0,Disability
20242025,47,HARDIN,231,Hardin County,80,North Middle School,231080,47231080,210249000000,GRREC,902,A1,ATSI,Middle School,Y,4.0,Disability
20242025,54,HOPKINS,265,Hopkins County,130,Hopkins County Central High School,265130,54265130,210286000000,WKEC,908,A1,TSI,High School,Y,4.0,Disability
20242025,56,JEFFERSON,275,Jefferson County,5,Cane Run Elementary,275005,56275005,210299000000,GREC,909,A1,CSI,Elementary School,Y,1.0,Bottom 5%
20242025,56,JEFFERSON,275,Jefferson County,7,Eastern High,275007,56275007,210299000000,GREC,909,A1,ATSI,High School,N,4.0,English Learners plus Monitored; Disability
20242025,56,JEFFERSON,275,Jefferson County,11,Fern Creek Elementary,275011,56275011,210299000000,GREC,909,A1,ATSI,Elementary School,Y,4.0,Disability
20242025,56,JEFFERSON,275,Jefferson County,12,Fern Creek High,275012,56275012,210299000000,GREC,909,A1,ATSI,High School,Y,4.0,Disability
20242025,56,JEFFERSON,275,Jefferson County,14,Greenwood Elementary,275014,56275014,210299000000,GREC,909,A1,CSI,Elementary School,Y,1.0,Bottom 5%
20242025,56,JEFFERSON,275,Jefferson County,27,Okolona Elementary,275027,56275027,210299000000,GREC,909,A1,TSI,Elementary School,Y,4.0,African American
20242025,56,JEFFERSON,275,Jefferson County,31,Southern High,275031,56275031,210299000000,GREC,909,A1,ATSI,High School,Y,4.0,Disability
20242025,56,JEFFERSON,275,Jefferson County,41,Newburg Middle,275041,56275041,210299000000,GREC,909,A1,ATSI,Middle School,Y,4.0,African American; English Learners plus Monitored; Economically Disadvantaged; Disability
20242025,56,JEFFERSON,275,Jefferson County,49,Farnsley Middle,275049,56275049,210299000000,GREC,909,A1,ATSI,Middle School,Y,4.0,African American; Disability
20242025,56,JEFFERSON,275,Jefferson County,51,Waggener High,275051,56275051,210299000000,GREC,909,A1,TSI,High School,Y,4.0,Disability
20242025,56,JEFFERSON,275,Jefferson County,57,Fairdale High,275057,56275057,210299000000,GREC,909,A1,CSI,High School,Y,1.0,Bottom 5%
20242025,56,JEFFERSON,275,Jefferson County,65,Jeffersontown High,275065,56275065,210299000000,GREC,909,A1,TSI,High School,Y,4.0,Disability
20242025,56,JEFFERSON,275,Jefferson County,66,Wilkerson Elementary School,275066,56275066,210299000000,GREC,909,A1,TSI,Elementary School,Y,4.0,Disability
20242025,56,JEFFERSON,275,Jefferson County,72,Watterson Elementary,275072,56275072,210299000000,GREC,909,A1,ATSI,Elementary School,Y,4.0,Disability
20242025,56,JEFFERSON,275,Jefferson County,73,Seneca High,275073,56275073,210299000000,GREC,909,A1,TSI,High School,Y,4.0,English Learners plus Monitored
20242025,56,JEFFERSON,275,Jefferson County,76,Indian Trail Elementary,275076,56275076,210299000000,GREC,909,A1,CSI,Elementary School,Y,1.0,Bottom 5%
20242025,56,JEFFERSON,275,Jefferson County,77,Westport Middle,275077,56275077,210299000000,GREC,909,A1,ATSI,Middle School,Y,4.0,African American; Disability
20242025,56,JEFFERSON,275,Jefferson County,79,Kerrick Elementary,275079,56275079,210299000000,GREC,909,A1,CSI,Elementary School,Y,4.0,Bottom 5%
20242025,56,JEFFERSON,275,Jefferson County,81,Rangeland Elementary,275081,56275081,210299000000,GREC,909,A1,CSI,Elementary School,Y,1.0,Bottom 5%
20242025,56,JEFFERSON,275,Jefferson County,83,Cochrane Elementary,275083,56275083,210299000000,GREC,909,A1,TSI,Elementary School,Y,4.0,Disability
20242025,56,JEFFERSON,275,Jefferson County,84,Western High,275084,56275084,210299000000,GREC,909,A1,ATSI,High School,Y,3.0,Disability
20242025,56,JEFFERSON,275,Jefferson County,90,Thomas Jefferson Middle,275090,56275090,210299000000,GREC,909,A1,CSI,Middle School,Y,5.0,Bottom 5%
20242025,56,JEFFERSON,275,Jefferson County,92,Crums Lane Elementary,275092,56275092,210299000000,GREC,909,A1,CSI,Elementary School,Y,1.0,Bottom 5%
20242025,56,JEFFERSON,275,Jefferson County,97,Shacklette Elementary,275097,56275097,210299000000,GREC,909,A1,CSI,Elementary School,Y,1.0,Bottom 5%
20242025,56,JEFFERSON,275,Jefferson County,99,Minors Lane Elementary,275099,56275099,210299000000,GREC,909,A1,TSI,Elementary School,Y,4.0,Disability
20242025,56,JEFFERSON,275,Jefferson County,100,Doss High,275100,56275100,210299000000,GREC,909,A1,CSI,High School,Y,1.0,Bottom 5%
20242025,56,JEFFERSON,275,Jefferson County,102,Chancey Elementary,275102,56275102,210299000000,GREC,909,A1,TSI,Elementary School,Y,4.0,Disability
20242025,56,JEFFERSON,275,Jefferson County,104,Trunnell Elementary,275104,56275104,210299000000,GREC,909,A1,CSI,Elementary School,Y,1.0,Bottom 5%
20242025,56,JEFFERSON,275,Jefferson County,119,Crosby Middle,275119,56275119,210299000000,GREC,909,A1,ATSI,Middle School,N,4.0,African American; Disability
20242025,56,JEFFERSON,275,Jefferson County,121,Hartstern Elementary,275121,56275121,210299000000,GREC,909,A1,CSI,Elementary School,Y,1.0,Bottom 5%
20242025,56,JEFFERSON,275,Jefferson County,128,Price Elementary,275128,56275128,210299000000,GREC,909,A1,ATSI,Elementary School,Y,4.0,Disability
20242025,56,JEFFERSON,275,Jefferson County,133,Lassiter Middle,275133,56275133,210299000000,GREC,909,A1,ATSI,Middle School,Y,4.0,African American; English Learners plus Monitored; Disability
20242025,56,JEFFERSON,275,Jefferson County,144,Stuart Middle School,275144,56275144,210299000000,GREC,909,A1,CSI,Middle School,Y,5.0,Bottom 5%
20242025,56,JEFFERSON,275,Jefferson County,147,Mill Creek Elementary,275147,56275147,210299000000,GREC,909,A1,CSI,Elementary School,Y,5.0,Bottom 5%
20242025,56,JEFFERSON,275,Jefferson County,149,Blake Elementary,275149,56275149,210299000000,GREC,909,A1,CSI,Elementary School,Y,1.0,Bottom 5%
20242025,56,JEFFERSON,275,Jefferson County,155,Marion C. Moore School,275155,56275155,210299000000,GREC,909,A1,CSI,High School,Y,4.0,Bottom 5%
20242025,56,JEFFERSON,275,Jefferson County,155,Marion C. Moore School,275155,56275155,210299000000,GREC,909,A1,CSI,Middle School,Y,4.0,Bottom 5%
20242025,56,JEFFERSON,275,Jefferson County,162,Kammerer Middle,275162,56275162,210299000000,GREC,909,A1,ATSI,Middle School,N,4.0,African American; Disability
20242025,56,JEFFERSON,275,Jefferson County,163,Knight Middle,275163,56275163,210299000000,GREC,909,A1,CSI,Middle School,Y,1.0,Bottom 5%
20242025,56,JEFFERSON,275,Jefferson County,164,Conway Middle,275164,56275164,210299000000,GREC,909,A1,CSI,Middle School,Y,5.0,Bottom 5%
20242025,56,JEFFERSON,275,Jefferson County,166,Jeffersontown Elementary,275166,56275166,210299000000,GREC,909,A1,ATSI,Elementary School,Y,4.0,African American; Disability
20242025,56,JEFFERSON,275,Jefferson County,167,Carrithers Middle,275167,56275167,210299000000,GREC,909,A1,ATSI,Middle School,Y,4.0,English Learners plus Monitored; Economically Disadvantaged; Disability
20242025,56,JEFFERSON,275,Jefferson County,182,Dr. William H. Perry Elementary School,275182,56275182,210299000000,GREC,909,A1,CSI,Elementary School,Y,5.0,Bottom 5%
20242025,56,JEFFERSON,275,Jefferson County,185,Atkinson Academy,275185,56275185,210299000000,GREC,909,A1,CSI,Elementary School,Y,1.0,Bottom 5%
20242025,56,JEFFERSON,275,Jefferson County,219,Ramsey Middle,275219,56275219,210299000000,GREC,909,A1,ATSI,Middle School,Y,4.0,Disability
20242025,56,JEFFERSON,275,Jefferson County,240,Engelhard Elementary,275240,56275240,210299000000,GREC,909,A1,CSI,Elementary School,Y,5.0,Bottom 5%
20242025,56,JEFFERSON,275,Jefferson County,243,Byck Elementary,275243,56275243,210299000740,GREC,909,A1,CSI,Elementary School,Y,1.0,Bottom 5%
20242025,56,JEFFERSON,275,Jefferson County,320,Highland Middle,275320,56275320,210299000000,GREC,909,A1,ATSI,Middle School,Y,4.0,African American; Disability
20242025,56,JEFFERSON,275,Jefferson County,323,Cochran Elementary,275323,56275323,210299000000,GREC,909,A1,CSI,Elementary School,Y,1.0,Bottom 5%
20242025,56,JEFFERSON,275,Jefferson County,325,Jacob Elementary,275325,56275325,210299000000,GREC,909,A1,CSI,Elementary School,Y,5.0,Bottom 5%
20242025,56,JEFFERSON,275,Jefferson County,335,Iroquois High,275335,56275335,210299000000,GREC,909,A1,CSI,High School,Y,5.0,Bottom 5%
20242025,56,JEFFERSON,275,Jefferson County,340,Meyzeek Middle,275340,56275340,210299000000,GREC,909,A1,ATSI,Middle School,N,4.0,African American; Disability
20242025,56,JEFFERSON,275,Jefferson County,374,Young Elementary,275374,56275374,210299000757,GREC,909,A1,CSI,Elementary School,Y,1.0,Bottom 5%
20242025,56,JEFFERSON,275,Jefferson County,406,Dr. J. Blaine Hudson Middle School,275406,56275406,210299000000,GREC,909,A1,CSI,Middle School,Y,1.0,Bottom 5%
20242025,56,JEFFERSON,275,Jefferson County,432,King Elementary,275432,56275432,210299000000,GREC,909,A1,CSI,Elementary School,Y,5.0,Bottom 5%
20242025,56,JEFFERSON,275,Jefferson County,440,Mcferran Preparatory Academy,275440,56275440,210299000000,GREC,909,A1,CSI,Elementary School,Y,5.0,Bottom 5%
20242025,56,JEFFERSON,275,Jefferson County,470,Johnson Traditional Middle,275470,56275470,210299000000,GREC,909,A1,CSI,Middle School,Y,1.0,Bottom 5%
20242025,56,JEFFERSON,275,Jefferson County,480,Maupin Elementary,275480,56275480,210299000000,GREC,909,A1,CSI,Elementary School,Y,5.0,Bottom 5%
20242025,56,JEFFERSON,275,Jefferson County,520,Lincoln Elementary Performing Arts,275520,56275520,210299000000,GREC,909,A1,TSI,Elementary School,N,4.0,African American
20242025,56,JEFFERSON,275,Jefferson County,560,Rutherford Elementary,275560,56275560,210299000000,GREC,909,A1,CSI,Elementary School,Y,1.0,Bottom 5%
20242025,56,JEFFERSON,275,Jefferson County,580,Semple Elementary,275580,56275580,210299000000,GREC,909,A1,CSI,Elementary School,Y,1.0,Bottom 5%
20242025,56,JEFFERSON,275,Jefferson County,590,The Academy @ Shawnee,275590,56275590,210299000000,GREC,909,A1,CSI,High School,Y,5.0,Bottom 5%
20242025,56,JEFFERSON,275,Jefferson County,590,The Academy @ Shawnee,275590,56275590,210299000000,GREC,909,A1,CSI,Middle School,Y,4.0,Bottom 5%
20242025,56,JEFFERSON,275,Jefferson County,610,Shelby Academy,275610,56275610,210299000000,GREC,909,A1,CSI,Elementary School,Y,1.0,Bottom 5%
20242025,56,JEFFERSON,275,Jefferson County,620,Frederick Law Olmsted Academy North,275620,56275620,210299000000,GREC,909,A1,CSI,Middle School,Y,5.0,Bottom 5%
20242025,56,JEFFERSON,275,Jefferson County,660,Coleridge-Taylor Montessori Elementary,275660,56275660,210299000000,GREC,909,A1,CSI,Elementary School,Y,5.0,Bottom 5%
20242025,56,JEFFERSON,275,Jefferson County,720,Kennedy Elementary,275720,56275720,210299000000,GREC,909,A1,CSI,Elementary School,Y,5.0,Bottom 5%
20242025,56,JEFFERSON,275,Jefferson County,730,Frederick Law Olmsted Academy South,275730,56275730,210299000000,GREC,909,A1,CSI,Middle School,Y,4.0,Bottom 5%
20242025,57,JESSAMINE,281,Jessamine County,19,West Jessamine High School,281019,57281019,210303000000,CKEC,901,A1,TSI,High School,N,4.0,Disability
20242025,57,JESSAMINE,281,Jessamine County,21,East Jessamine High School,281021,57281021,210303000000,CKEC,901,A1,ATSI,High School,N,4.0,Disability
20242025,57,JESSAMINE,281,Jessamine County,26,West Jessamine Middle School,281026,57281026,210303000000,CKEC,901,A1,ATSI,Middle School,Y,4.0,Disability
20242025,57,JESSAMINE,281,Jessamine County,50,Nicholasville Elementary School,281050,57281050,210303000000,CKEC,901,A1,TSI,Elementary School,Y,4.0,Disability
20242025,57,JESSAMINE,281,Jessamine County,70,Brookside Elementary School,281070,57281070,210303000000,CKEC,901,A1,ATSI,Elementary School,Y,4.0,Disability
20242025,67,LETCHER,331,Letcher County,425,Martha Jane Potter Elementary School,331425,67331425,210336000000,KVEC,904,A1,ATSI,Elementary School,Y,4.0,Disability
20242025,68,LEWIS,335,Lewis County,100,Lewis County Middle School,335100,68335100,210339000000,KEDC,903,A1,ATSI,Middle School,Y,4.0,Disability
20242025,69,LINCOLN,341,Lincoln County,40,Crab Orchard Elementary School,341040,69341040,210348000000,SESC,907,A1,TSI,Elementary School,Y,4.0,Disability
20242025,69,LINCOLN,341,Lincoln County,65,Lincoln County Middle School,341065,69341065,210348000000,SESC,907,A1,ATSI,Middle School,Y,4.0,Disability
20242025,69,LINCOLN,341,Lincoln County,130,Stanford Elementary School,341130,69341130,210348000000,SESC,907,A1,TSI,Elementary School,Y,4.0,Disability
20242025,73,MADISON,365,Madison County,20,Madison Middle School,365020,73365020,210372000000,SESC,907,A1,ATSI,Middle School,Y,4.0,Disability
20242025,83,MENIFEE,415,Menifee County,90,Menifee County High School,415090,83415090,210408000000,KEDC,903,A1,CSI,Middle School,N,1.0,Bottom 5%
20242025,85,METCALFE,425,Metcalfe County,60,Metcalfe County Elementary School,425060,85425060,210414000000,GRREC,902,A1,ATSI,Elementary School,Y,4.0,Disability
20242025,87,MONTGOMERY,435,Montgomery County,40,Montgomery County High School,435040,87435040,210425000000,CKEC,901,A1,ATSI,High School,N,4.0,Disability
20242025,87,MONTGOMERY,435,Montgomery County,70,McNabb Middle School,435070,87435070,210425000000,CKEC,901,A1,ATSI,Middle School,N,4.0,Disability
20242025,89,MUHLENBERG,445,Muhlenberg County,150,Muhlenberg County Middle School,445150,89445150,210008000000,WKEC,908,A1,TSI,Middle School,N,4.0,Disability
20242025,90,NELSON,451,Nelson County,10,Bloomfield Middle School,451010,90451010,210441000000,CKEC,901,A1,ATSI,Middle School,Y,4.0,Disability
20242025,90,NELSON,451,Nelson County,70,Foster Heights Elementary School,451070,90451070,210441000000,CKEC,901,A1,ATSI,Elementary School,Y,3.0,Disability
20242025,90,NELSON,451,Nelson County,90,Old Kentucky Home Middle School,451090,90451090,210441000000,CKEC,901,A1,ATSI,Middle School,Y,4.0,Disability
20242025,19,CAMPBELL,452,Newport Independent,20,Newport Primary School,452020,19452020,210444000000,NKCES,905,A1,ATSI,Elementary School,Y,4.0,African American
20242025,19,CAMPBELL,452,Newport Independent,40,Newport Intermediate School,452040,19452040,210444001100,NKCES,905,A1,ATSI,Elementary School,Y,4.0,African American
20242025,92,OHIO,461,Ohio County,155,Ohio County High School,461155,92461155,210450000000,GRREC,902,A1,ATSI,High School,N,4.0,English Learners plus Monitored
20242025,93,OLDHAM,465,Oldham County,70,Oldham County Middle School,465070,93465070,210453000000,OVEC,906,A1,TSI,Middle School,N,4.0,English Learners plus Monitored
20242025,94,OWEN,471,Owen County,78,Maurice Bowling Middle School,471078,94471078,210456000000,OVEC,906,A1,ATSI,Middle School,Y,4.0,Disability
20242025,30,DAVIESS,472,Owensboro Independent,108,Owensboro Middle School,472108,30472108,210459000000,GRREC,902,A1,ATSI,Middle School,Y,4.0,English Learners plus Monitored
20242025,79,MCCRACKEN,476,Paducah Independent,10,Paducah Middle School,476010,79476010,210465000000,WKEC,908,A1,ATSI,Middle School,Y,4.0,Disability
20242025,96,PENDLETON,481,Pendleton County,61,Phillip Sharp Middle School,481061,96481061,210474000000,NKCES,905,A1,ATSI,Middle School,Y,4.0,Disability
20242025,97,PERRY,485,Perry County,635,Robert W Combs Elementary School,485635,97485635,210477000000,KVEC,904,A1,TSI,Elementary School,Y,4.0,Disability
20242025,99,POWELL,495,Powell County,15,Powell County Middle School,495015,99495015,210489000000,CKEC,901,A1,CSI,Middle School,Y,1.0,Bottom 5%
20242025,71,LOGAN,523,Russellville Independent,25,R E Stevenson Elementary School,523025,71523025,210519000000,GRREC,902,A1,ATSI,Elementary School,Y,4.0,Disability
20242025,105,SCOTT,525,Scott County,12,Anne Mason Elementary School,525012,105525012,210526000000,CKEC,901,A1,ATSI,Elementary School,Y,4.0,Disability
20242025,105,SCOTT,525,Scott County,18,Georgetown Middle School,525018,105525018,210526000000,CKEC,901,A1,ATSI,Middle School,Y,4.0,Disability
20242025,105,SCOTT,525,Scott County,29,Creekside Elementary,525029,105525029,210526000000,CKEC,901,A1,TSI,Elementary School,Y,4.0,Disability
20242025,105,SCOTT,525,Scott County,40,Scott County High School,525040,105525040,210526000000,CKEC,901,A1,ATSI,High School,N,4.0,Disability
20242025,105,SCOTT,525,Scott County,70,Southern Elementary School,525070,105525070,210526000000,CKEC,901,A1,ATSI,Elementary School,Y,4.0,Disability
20242025,105,SCOTT,525,Scott County,80,Western Elementary School,525080,105525080,210526000000,CKEC,901,A1,TSI,Elementary School,Y,4.0,English Learners plus Monitored
20242025,106,SHELBY,531,Shelby County,14,Painted Stone Elementary,531014,106531014,210532000000,OVEC,906,A1,ATSI,Elementary School,Y,4.0,English Learners plus Monitored
20242025,106,SHELBY,531,Shelby County,40,Martha Layne Collins High School,531040,106531040,210532000000,OVEC,906,A1,ATSI,High School,N,4.0,English Learners plus Monitored
